Ad tent-qeblent?
Ad ten-tseɛfemt?
Ad tent-seɛfent?
Ad ten-tseggmeḍ?
Ad ten-tseggmem?
Ad tent-seggmen?
Ad tent-snegren.
Ad tent-sseɣlin.
Ad tent-tamnemt?
Ad tent-teddmeḍ?
Ad tent-teddmem?
Ad tent-tleqqem?
Ad tent-tqebleḍ?
Ad tent-tqeblem?
Ad tent-tseɛfeḍ?
Ad tent-tseɛfem?
Ad tent-tseggem?
Ad tent-twanseḍ?
Ad tent-twansem?
Ad ten-twansemt?
Ad tent-wansent?
Ad ten-yesseɣli.
Qlen ɣer Bgayet.
Qqaren-iyi Ḥmed.
Qqaren-iyi Ivan.
Qqel ɣer deffir.
Qqen arkas-nnek.
Qqen taggest-ik.
Qqen taggest-im.
Qqim cwiṭ yid-i.
Qqim da, yif ak.
Qqim deg talwit.
Qqim g umkan-ik.
Qqim g umkan-im.
Qqim ɣer ṭṭabla.
Qqimeɣ gar-asen.
Qqimemt akked-i.
Qqimemt ddukkli.
Qqimemt teknamt!
Qqimemt ṭṛankil!
Qqiment susment.
Qqimet yid-nneɣ.
Qqlat yan imikk.
Qqleɣ ɣer Japun.
Qqleɣ ɣer uxxam.
Qqlem-d ar daki.
Qqlen d ummilen.
Qqlen ɣer udrar.
Qqlen ɣer uxxam.
Qqlen ɣer wurti.
Qqlent ɣer ccna.
Qqlent mechuṛit.
Qqlent-d iḍelli.
Qqnent irazalen.
Qrib ad d-awḍen.
Qṛib ad d-yaweḍ.
Qṛib ad d-yuɣal.
Qrib ad nfak da.
Qrib ad tfakemt?
Qṛib ad yas Tom.
Qrib ay xsifent.
Qrib ifukk wass.
Qrib iyi-tenɣid.
Qrib nemmut din.
Qwem taxxamt-ik!
Qwem taxxamt-im!
Raɛeɣ deg teẓgi.
Ṛaju daki yakan.
Rant tifugliwin.
Ṛḍel-aɣ-tent-id.
Ṛḍel-asent-tent.
Ṛḍel-asent-t-id.
Ṛḍel-asen-tt-id.
Ṛḍel-as-tent-id.
Ṛḍel-iyi-ten-id.
Reḍḍleɣ idrimen.
Reḍleɣ-as asidi.
Ṛeḍlemt-aɣ-tent.
Ṛeḍlemt-aɣ-t-id.
Ṛeḍlemt-asent-t.
Ṛeḍlemt-asen-tt.
Ṛeḍlemt-as-tent.
Ṛeḍlemt-as-t-id.
Ṛeḍlemt-iyi-ten.
Ṛeḍlen-aɣ-tt-id?
Ṛeḍlen-akent-tt.
Ṛeḍlen-ak-tt-id?
Ṛeḍlen-am-tt-id?
Ṛeḍlen-asen-ten.
Ṛeḍlen-asent-tt.
Ṛeḍlen-as-tt-id?
Ṛeḍlen-awen-ten.
Ṛeḍlen-iyi-tent.
Ṛeḍlen-iyi-t-id?
Ṛeḍlent-aɣ-tent.
Ṛeḍlent-aɣ-t-id?
Ṛeḍlent-akent-t.
Ṛeḍlent-ak-tent.
Ṛeḍlent-ak-t-id?
Ṛeḍlent-am-tent.
Ṛeḍlent-am-t-id?
Ṛeḍlent-asent-t.
Ṛeḍlent-asen-tt.
Ṛeḍlent-as-tent.
Ṛeḍlent-as-t-id?
Ṛeḍlent-awen-tt.
Ṛeḍlent-iyi-ten.
Ṛeḍlet-aɣ-tt-id.
Ṛeḍlet-asen-ten.
Ṛeḍlet-asent-tt.
Ṛeḍlet-as-tt-id.
Ṛeḍlet-iyi-tent.
Ṛeḍlet-iyi-t-id.
Regbeɣ s taqqet.
Reglen yebriden.
Reglen yiberdan.
Reṭṭleɣ idrimen.
Rewleɣ d tazzla.
Rewleɣ i taluft.
Reẓmeɣ tazewwut.
Reẓmemt tizewwa!
Reẓment tewwura.
Reẓmet tazewwut.
Reẓẓment tzewwa?
Rfan yernu ddan.
Rfant fell-awen.
Rfed ifassen-ik!
Rfiɣ fell-awent.
Riɣ ad aruɣ aya.
Riɣ ad cceɣ kra.
Riɣ ad kem-aɣeɣ.
Riɣ aselmad-nni.
Riɣ aṭas ayaziḍ.
Riɣ aṭas aẓawan.
Riɣ aṭas taɣuri.
Riɣ isegbaren-a.
Riɣ iẓem agaman.
Riɣ taḥanut-nni.
Riɣ tamdint-inu.
Riɣ taspenyulit!
Riɣ timkarḍiyin.
Riɣ yat tmiẓiḍt.
Riɣ-kem a tayri.
Ṛjan nnuba-nsen.
Ṛjut kan timikt.
Rjut nnuba-nwen.
Rnan deg lmizan.
Rnant-d ɣur-neɣ.
Rniɣ deg lmizan.
Rnum-d ɣuṛ-nneɣ!
Rnut-yas taɣuṛi.
Rran ddehn-nsen.
Rran deg usawal.
Rran-aɣ-tent-id.
Rran-aɣ-tent-id?
Rran-akent-tent.
Rran-akent-t-id.
Rran-akent-t-id?
Rran-ak-tent-id.
Rran-ak-tent-id?
Rran-am-tent-id.
Rran-am-tent-id?
Rran-asent-tent.
Rran-asent-t-id.
Rran-asen-tt-id.
Rran-asent-t-id?
Rran-asen-tt-id?
Rran-as-tent-id.
Rran-as-tent-id?
Rran-awen-tt-id.
Rran-awen-tt-id?
Rran-iyi-ten-id.
Rran-iyi-ten-id?
Rrant-aɣ-ten-id.
Rrant-aɣ-ten-id?
Rrant-akent-ten.
Rrant-ak-ten-id.
Rrant-ak-ten-id?
Rrant-am-ten-id.
Rrant-am-ten-id?
Rrant-asen-tent.
Rrant-asen-t-id.
Rrant-asen-t-id?
Rrant-asent-ten.
Rrant-as-ten-id.
Rrant-as-ten-id?
Rrant-awen-tent.
Rrant-awen-t-id.
Rrant-awen-t-id?
Rrant-iyi-tt-id.
Rrant-iyi-tt-id?
Rret ddhen-nwen!
Rret ddhen-nwen.
Rret-iyi-d awal!
Rriɣ deg usawal.
Rriɣ-as i yiwen.
Rriɣ-as i yiwet.
Rrnu qqim ciṭuḥ.
Rrẓeɣ deg yiɣil.
Rseɣ ɣef wayyur.
Rsen ɣef wayyur.
Ruɣ yerna umneɣ.
Ruḥ ad d-teqḍuḍ.
Ṛuḥ ad teccuxeḍ!
Ṛuḥ ad tmellḥeḍ!
Ruḥ ad tqewwdeḍ!
Ṛuḥ ɣer uxeddim.
Ṛuḥ kan ar zdat.
Ṛuḥ kan ɣer din.
Ṛuḥ-d ar wexxam.
Ṛuḥeɣ ar Ṭelyan.
Ṛuḥemt s leɛqel.
Ṛuḥent deg-sent.
Run yerna umnen.
Rwel ma tzemreḍ!
Ṛwiɣ tiḥelwatin.
Ṛwiɣ, tanemmirt.
Rwimt-tent mliḥ.
Rzan ɣef Boston.
Rzan ɣef London.
Rẓem yan umiḍan!
Rziɣ ɣef Boston.
Rziɣ ɣef London.
Rziɣ ɣer London.
S cwiṭ n wussis.
S lehna-k a mmi.
S tezmert-nkent!
S tezmert-nkent.
S tezmert-nkunt!
S tezmert-nwent!
S yisem n menhu?
Sakkin msudanen.
Sam yerna Layla.
Sami atan yid-i.
Sami d amsestan.
Sami d awerdani.
Sami ɣuṛ-s ilha.
Sami ɣuṛ-s ẓhaṛ.
Sami iga agulen.
Sami ila uguren.
Sami imuhel din.
Sami iruḥ s usu.
Sami iwet Layla.
Sami iwufeq-iyi.
Sami ixeddem da.
Sami la d-isell.
Sami la ixeddem.
Sami la yettusu.
Sami ur ɣa isusm
Sami yebda awal.
Sami yebded din.
Sami yeɛreq akk.
Sami yefhem aya.
Sami yeḥqer-iyi.
Sami yella ixaq.
Sami yella yuki.
Sami yemmut din.
Sami yeqqim din.
Sami yeswa ugar.
Sami yettwaqbel.
Sami yettwargem.
Sami yettwaxḍef.
Sami yettwaxneq.
Sami yexdem din.
Sami yuklal aya.
Sanda ad giǧǧen?
Sanda ara neddu?
Sanda ay guǧǧen?
Sanda ay rewlen?
Sanda ay teddam?
Sanda ay teddid?
Sanda ay terwel?
Sanda ay t-rran?
Sanda ay tuwḍem?
Sanda ay wwḍent?
Sanda ay yerwel?
Sanda ay yewweḍ?
Sani ar ad tṛuḥ?
Sarmeɣ ad d-yas.
Sateɣ ɣef yiwen.
Sateɣ ɣef yiwet.
Sawalen-iyi Tom.
Sawel ar wexxam!
Sawleɣ-as i Tom.
Sawlent-akent-d.
Sɛan akk tissit.
Sɛan tinebgawin.
Sɛan uguren daɣ?
Sɛant inebgawen.
Sɛant takeṛṛust.
Sebɣen-asen-ten.
Sebɣen-asent-tt.
Sebɣen-iyi-tent.
Sebɣent-asent-t.
Sebɣent-asen-tt.
Sebɣent-as-tent.
Sebɣent-iyi-ten.
Sebɣent-tent-id.
Sɛeddaɣ amur-iw.
Sɛeṣɛeɣ tawwurt.
Seffeɣ-itent-id.
Seffɣemt-ten-id.
Seffɣet-tent-id.
Sefhem-iyi-t-id.
Sefti amyag-nni.
Seg ulawen-nwen?
Seg-a ara nadef.
Seg-a ara nebdu.
Seg-a ara neddu.
Seg-a ara neqḍu.
Seg-a ara nezri.
Ṣeggmeɣ iman-iw.
Seggmeɣ-ten akk.
Seggmen-aɣ-tent.
Seggmen-akent-t.
Seggmen-ak-tent.
Seggmen-am-tent.
Seggmen-asent-t.
Seggmen-asen-tt.
Seggmen-as-tent.
Seggmen-awen-tt.
Seggmen-iyi-ten.
Seggment-aɣ-ten.
Seggment-ak-ten.
Seggment-am-ten.
Seggment-asen-t.
Seggment-as-ten.
Seggment-awen-t.
Seggmen-ten akk.
Seggment-iyi-tt.
Seggment-tt akk.
Seglafen yeqjan.
Segmi i d-tusiḍ.
Seɣti tafyirt-a.
Seɣti tifyar-ik.
Ṣeḥḥ, tesserces.
Sɛiɣ ahat lḥeqq.
Sɛiɣ akud ass-a.
Sɛiɣ sin yemcac.
Sɛiɣ snat yessi.
Sɛiɣ tasnasɣalt.
Sɛiɣ yid-k awal.
Sɛiɣ ẓẓher mliḥ.
Ṣekkeṛ allen-ik.
Ṣekkeṛ allen-im.
Sekkeṛ aman-nni!
Sekkeṛ ṭṭaq-nni!
Sel-as i baba-k.
Sel-as i baba-m.
Selbent s tidet.
Selleɣ i leṣwat.
Semmḍet tegnawt.
Semmeḍ weɣrab-a.
Semmeḍ-it waman?
Semmṛet tizewwa!
Semmum uyefki-a.
Senndeɣ s aɣrab.
Senqeḍ aḍris-ik.
Seqdaceɣ dduzan.
Seqsi ɣef umɣar.
Seqsi-t fell-as.
Serked iman-ik !
Serreḥ-as i Tom!
Serreḥ-as i Tom.
Sett ayen tufiḍ.
Sewweɣ-d lqahwa.
Ṣewwreɣ-d yiwen.
Ṣewwreɣ-d yiwet.
Sexsi tafat-nni!
Sexsimt tiliẓṛi.
Sfaqent-kent-id.
Sfaqent-tent-id.
Sfeḍ akin ammus.
Sfehmeɣ-as-t-id.
Sfehmeɣ-d yiwen.
Sfehmeɣ-d yiwet.
Sɣan-d iẓem-nni?
Sɣant-d idlisen.
Sɣiɣ-ak-d asefk.
Sɣiɣ-as-d azebg.
Sɣiɣ-d tabatrit.
Sɣiɣ-d tasiwant.
Sgumiɣ ad ṭṭseɣ.
Sgunfumt imir-a.
Sɣur-k i t-sliɣ.
Sḥassfeɣ nezzeh.
Shiɣ uṭṭun-inek.
Shiɣ uṭṭun-inem.
Sifeɣ ad qqimeɣ.
Sired lemri-nni.
Sired tuɣmas-ik!
Sired tuɣmas-im!
Siweḍ-asen azul.
Siwleɣ-as yakan.
Siwzel aḍris-ik.
Sixef-d ar dayi.
Skaddbent merra.
Skecmeɣ-d yiwen.
Skecmeɣ-d yiwet.
Skefleɣ-d yiwen.
Skefleɣ-d yiwet.
Sken-as-t i Tom.
Skenfeɣ-d yiwen.
Skenfeɣ-d yiwet.
Skerksen fell-i.
Slemden-iyi-ten.
Slemdent-iyi-tt.
Slet-d ay arrac!
Sliɣ-ak tcennud.
Sliɣ-am tcennud.
Smeɣrent ddeɛwa.
Smesxren s Mary.
Sneflent kullec.
Sneɣ tafṛansist.
Sneɣ tutlayt-ik.
Snejbadeɣ yiwen.
Snejbadeɣ yiwet.
Snuzuyen kullec.
Sqedcemt asawal.
Srekmeɣ-d yiwen.
Srekmeɣ-d yiwet.
Sriɣ asawal-nni.
Sriɣ i yedrimen.
Sriɣ tayri-nnek.
Sriɣ tayri-nnem.
Sriɣ tisura-nni.
Srin i yedrimen.
Srint ad ḍḍsent.
Sṛuḥeɣ asga-inu.
Sṛuḥeɣ aydi-inu.
Sruḥeɣ imru-inu.
Sṛuḥeɣ tisura-w.
Ssadfeɣ-d yiwen.
Ssadfeɣ-d yiwet.
Ssaɛa-yi tṣeḥḥa.
Ssaɣent tiliẓri.
Ssaɣent-d aɣrum.
Ssaherwen abrod.
Ssakimt-tent-id.
Ssarameɣ tegzam.
Ssarameɣ tegziḍ.
Ssarameɣ tidett.
Ssardeɣ tizewwa.
Ssardeɣ-d agnes.
Ssarden lbaṭaṭa.
Ssawlen fell-as.
Ssazedgeɣ yiwen.
Ssazedgeɣ yiwet.
Ssebded akeyyef.
Ssebded ddexxan.
Ssedhaɣ igerdan.
Ssedhan igerdan.
Ssefled i unẓar.
Ssefrumt-d awal.
Sseɣliɣ-d yiwen.
Sseɣliɣ-d yiwet.
Sseɣsi lgaz-nni.
Sseɣsiɣ aselkim.
Sseɣsim tiliẓri.
Sseɣsin aselkim.
Sseɣsit tiliẓri.
Sseḥmaɣ-d yiwen.
Sseḥmaɣ-d yiwet.
Ssekneɣ-d yiwen.
Ssekneɣ-d yiwet.
Ssemceḥ-as zzit.
Ssenseɣ aselkim.
Ssenset tiliẓri.
Sserdeɣ udem-iw.
Sserɣeɣ iman-iw.
Sseṛɣeɣ-akent-t.
Sseṛɣeɣ-aken-tt.
Sseṛɣeɣ-ak-tent.
Sseṛɣeɣ-am-tent.
Sseṛɣeɣ-as-tent.
Sseṛɣeɣ-awen-tt.
Sseṛɣen-aɣ-tent.
Sseṛɣen-akent-t.
Sseṛɣen-ak-tent.
Sseṛɣen-am-tent.
Sseṛɣen-asent-t.
Sseṛɣen-asen-tt.
Sseṛɣen-as-tent.
Sseṛɣen-awen-tt.
Sseṛɣen-iyi-ten.
Sseṛɣent-aɣ-ten.
Sseṛɣent-ak-ten.
Sseṛɣent-am-ten.
Sseṛɣent-asen-t.
Sseṛɣent-as-ten.
Sseṛɣent-awen-t.
Sseṛɣent-iyi-tt.
Ssers iman-nnek.
Ssers iman-nnem.
Ssewhamen waman.
Ssewjed iman-im!
Ssewweɣ-d yiwen.
Ssewweɣ-d yiwet.
Ssexsi lgaz-nni.
Ssexsiɣ aselkim.
Ssexsin aselkim.
Ssider tazewwut.
Ssirident iqbac.
Ssiwel s leɛqel.
Ssiwlemt ed Tom.
Ssizdeg tizewwa.
Ssked iḍuḍan-iw.
Ssken-iyi-tt-id.
Ssneɣ adlis-nni.
Ssneɣ agmam-nni.
Ssneɣ amkan-agi.
Ssneɣ imdanen-a.
Ssneɣ isem-nnek.
Ssneɣ isem-nnem.
Ssneɣ udem-nnek.
Ssneɣ udem-nnem.
Ssnen ad ceḍḥen?
Ssnen ad nehṛen.
Ssnen adlis-nni.
Ssnent ad cnunt.
Ssnen-t seg zik.
Ssnent-iyi yagi.
Ssneqset tazzla.
Ssnet iman-nwen!
Ssufeɣ-itt ssya!
Ssuffɣeɣ tursaḍ.
Ssuffɣen tursaḍ.
Ssufɣet-it ssya!
Ssuggutent awal.
Ssuɣlet aḍṛis-a.
Ssukkes-iten-id.
Ssukksemt-d Tom.
Ssukksem-ten-id.
Ssukkset-ten-id.
Ssullint imir-a.
Ssumreɣ-d yiwen.
Ssumreɣ-d yiwet.
Ssunɣeɣ-d yiwen.
Ssunɣeɣ-d yiwet.
Ssuref-as i Tom.
Ssutreɣ-d yiwen.
Ssutreɣ-d yiwet.
Ssutren-d yiwen.
Ssutren-d yiwet.
Ssutureɣ tidett.
Ssway imɣan-nni.
Staɛfu cuiṭ dagi
Staxrent-d Mary.
Staxxṛen-kem-id.
Staxxṛen-ken-id.
Steɛṛfen xeṣren.
Steḥqeɣ aselkim.
Sufeɣ-d iles-im.
Suffeɣ-iten akk.
Suffɣet-ten akk.
Susan tra imcac.
Suter, ad tawiḍ.
Sutreɣ-as i Tom.
Swalen-as i Tom.
Swatit imawaɣen.
Swejdeɣ-d yiwen.
Swejdeɣ-d yiwet.
Swem kra n ttay.
Swemt yid-i kra.
Swiɣ aṭas leɛca.
Swiɣ ddwawi-nni.
Swiɣ ḥalami rwiɣ
Swingem fell-as.
Sxedmemt asawal.
Sxurruḍent aṭas.
Szewrent lexlaṣ.
Ta d takti-nnek.
Ta d takti-nnem.
Ta d takti-nwen.
Ta d tamezgida .
Ta d tarzeft-ik.
Ta d tarzeft-im.
Ta d taydit-inu.
Ta d tizlit-inu.
Ta d tuccḍa kan.
Ta ur d tamrint.
Tabṛat-a i kečč.
Tafizikt tewɛeṛ.
Tafyirt tgerrez.
Tagara, wwḍen-d.
Taɣenust thegga.
Tagi d tizizwit.
Taguni igerrzen!
Taɣuri igerrzen.
Taɣuri tessidir.
Takeṛṛust-a inu.
Talwit n umaḍal.
Tamacahut tekfa.
Tamanegt i kecc!
Tamaziɣt tenfeɛ.
Tamda taberkant.
Tamdint meɣɣret.
Tameddit yelhan.
Tamussni n lxir!
Tamussni n lxir.
Tanemmirt a Jim.
Tanemmirt i Yuc.
Tanemmirt-nkent!
Tanemmirt-nwent!
Tanemmirt-nwent.
Tanfult-a baṭel.
Taninna tbeddel.
Taninna terra-d.
Taninna tettess.
Taninna tneggez.
Taninna tnehheṛ.
Taninna tseffeq.
Taninna tṣeffer.
Taninna txelleṣ.
Taqcic tetturar.
Taqsiṭ-a tṣeḥḥa.
Taruẓi n wuffal.
Tatoeba d idles.
Tatoeba imellek.
Tawenza n ddheb.
Taxxamt i lekra.
Taxxamt meqqret.
Taxxamt-nni inu.
Taydi-inu teḥma.
Taydit-nni nnek?
Taydit-nni nnem?
Tayerza n yiger.
Tayri tedderɣel.
Tayri tesderɣal.
Tazemmurt tefsa.
Tbeddel fell-as.
Tbeddel lqahiṛa.
Tbeddel teswiɛt.
Tbundel tiṭṭ-iw.
Tcaremt fell-as.
Tcerreq tawwurt.
Tcuff-d tiṭ-inu.
Tḍaqemt ɣel Tom?
Tḍehher-d tidet.
Tdelged-tt, naɣ?
Tdelgeḍ-tt, naɣ?
Tdelgemt-t, naɣ?
Tdelgem-tt, naɣ?
Tḍelmemt medden.
Tḍemned-tt, naɣ?
Tḍemneḍ-tt, naɣ?
Tḍemnemt-t, naɣ?
Tḍemnem-tt, naɣ?
Tḍul ssmana-nni.
Tɛawned mamma-s?
Tɛawnem mamma-s?
Tebda tettɣenni.
Tebda-d amennuɣ.
Tebḍa-yaɣ-tt-id.
Tebḍa-yak-tt-id.
Tebḍa-yam-tt-id.
Tebḍa-yas-tt-id.
Tebḍa-yi-ten-id.
Tebɣa ad tecḍeḥ.
Tebɣa ad tennaɣ.
Tebɣa ad t-tẓer?
Tebɣa takeṛṛust.
Tebɣa takeṛṛust?
Tebɣa tiririyin.
Tebɣa-ken kenwi.
Tebɣam aya, naɣ?
Tebɣamt abugaṭu.
Tebɣid aya, naɣ?
Tebɣiḍ aya, naɣ?
Tebɣid-t imir-a?
Tebɣiḍ-t imir-a?
Tebnamt-tt, naɣ?
Tecbeḥ tfekka-k.
Tecbeḥ tfekka-m.
Tecbeḥ tmeddurt.
Tecbeḥ tṛakna-a.
Tecca tisfenjet.
Teccamt akavyaṛ.
Teccef-itt tidi.
Teččeɣ tadeffut.
Teččiḍ tasegrit?
Teččiḍ-iyi-tent.
Teccucfed ass-a?
Teccucfemt, naɣ?
Teččur d leɛqel.
Teččurem d awal.
Tecfa fell-awen.
Tecfamt fell-as?
Tecmumeḥ-d Sita.
Tedda ad teḍḍes.
Tedda ɣer Marie.
Tedda ɣer teẓgi.
Tedda ɣer ufrag.
Tedda ɣer ugnir.
Tedda ɣer uxxam.
Tedda ɣer wurti.
Tedda-d yid-wen?
Teḍḍef-d akaraf.
Tedderɣel tayri.
Teḍḍfemt asihaṛ?
Tedduɣ ad ffɣeɣ.
Tedduɣ s axxam .
Tedduklemt dima.
Tedmiḍ ɣef akka?
Teḍsa fell-awen?
Tɛebbdemt Ṛebbi.
Tɛeddad i tlisa.
Tɛeddam i tlisa.
Tɛeḍḍel tmacint?
Tɛeḍḍlemt daɣen.
Tɛeǧeb-iyi aṭas.
Teɛǧeb-iyi mliḥ.
Teɛjeb-ak Musku?
Teɛjeb-aneɣ akk.
Teɛjeb-as i Tom.
Teɛjeb-as Japun?
Teɛjeb-iyi aṭas.
Teɛjeb-iyi Mary.
Tɛeqlemt tira-a?
Tɛerḍed-t uqbel?
Tɛerḍeḍ-t uqbel?
Teɛreq-iyi Mary.
Tɛeṭṭleḍ iḍelli.
Tɛeyyen-ak Mary.
Tɛeyyen-am Mary.
Tɛeyyned-aneɣ-d.
Tɛeyyneḍ-aneɣ-d.
Tɛeyynem-aneɣ-d.
Tɛeyyu s tefses.
Tɛeẓgeḍ neɣ acu?
Tɛezmed asennaṭ?
Teffeɣ ar beṛṛa.
Teffer-akent-tt.
Teffer-asen-ten.
Teffer-asent-tt.
Teffer-awen-ten.
Teffer-iyi-tent.
Teffɣeḍ i ubrid.
Teffɣeḍ ur ddiɣ.
Teffreḍ fell-as.
Teffreḍ-aɣ-tent.
Teffreḍ-asent-t.
Teffreḍ-asen-tt.
Teffreḍ-as-tent.
Teffreḍ-iyi-ten.
Teffrem fell-as.
Teffrem-aɣ-tent.
Teffrem-asent-t.
Teffrem-asen-tt.
Teffrem-as-tent.
Teffremt fell-i.
Teffremt-aɣ-ten.
Teffremt-asen-t.
Teffremt-as-ten.
Tefka-as atriku.
Tefkam-aɣ-tt-id.
Tefkam-asen-ten.
Tefkam-asen-ten?
Tefkam-asent-tt.
Tefkam-asent-tt?
Tefkam-as-tt-id.
Tefkam-iyi-tent.
Tefkam-iyi-tent?
Tefkam-iyi-t-id.
Tefkamt-aɣ-t-id.
Tefkamt-asent-t.
Tefkamt-asen-tt.
Tefkamt-asent-t?
Tefkamt-asen-tt?
Tefkamt-as-tent.
Tefkamt-as-tent?
Tefkamt-as-t-id.
Tefkamt-iyi-ten.
Tefkamt-iyi-ten?
Tefka-yaɣ-tt-id.
Tefka-yakent-tt.
Tefka-yakent-tt?
Tefka-yak-tt-id.
Tefka-yam-tt-id.
Tefka-yas rrkel.
Tefka-yasen-ten.
Tefka-yasen-ten?
Tefka-yasent-tt.
Tefka-yasent-tt?
Tefka-yas-tt-id.
Tefka-yawen-ten.
Tefka-yawen-ten?
Tefka-yi-ten-id.
Tefkiḍ-aɣ-tt-id.
Tefkiḍ-asen-ten.
Tefkiḍ-asen-ten?
Tefkiḍ-asent-tt.
Tefkiḍ-asent-tt?
Tefkiḍ-as-tt-id.
Tefkid-d amaway.
Tefkiḍ-iyi-tent.
Tefkiḍ-iyi-tent?
Tefkiḍ-iyi-t-id.
Tefrid ugur-nni?
Teɣder-it tnafa.
Teǧǧam-aɣ-tt-id.
Teǧǧam-aɣ-tt-id?
Teǧǧam-as-tt-id.
Teǧǧam-as-tt-id?
Teǧǧam-iyi-t-id.
Teǧǧam-iyi-t-id?
Teǧǧamt-aɣ-t-id.
Teǧǧamt-aɣ-t-id?
Teǧǧamt-as-t-id.
Teǧǧamt-as-t-id?
Teɣɣared-as Tom.
Teɣɣareḍ-as Tom.
Teɣɣarem-as Tom.
Teǧǧa-t ad iṛuḥ.
Teǧǧa-t tmacint.
Teǧǧa-yaɣ-tt-id.
Teǧǧa-yaɣ-tt-id?
Teǧǧa-yak-tt-id.
Teǧǧa-yak-tt-id?
Teǧǧa-yam-tt-id.
Teǧǧa-yam-tt-id?
Teǧǧa-yas-tt-id.
Teǧǧa-yas-tt-id?
Teǧǧa-yi-ten-id.
Teǧǧa-yi-ten-id?
Teǧǧiḍ arraw-ik.
Teǧǧiḍ arraw-im.
Teǧǧiḍ-aɣ-tt-id.
Teǧǧiḍ-aɣ-tt-id?
Teǧǧiḍ-as-tt-id.
Teǧǧiḍ-as-tt-id?
Teǧǧiḍ-iyi-t-id.
Teǧǧiḍ-iyi-t-id?
Teggul deg Mary.
Teglam yes-sent.
Teglamt yes-sen.
Teɣleq tbernint.
Tegliḍ yes-sent.
Teɣra adlis-nni.
Teɣra-ak-d Mary.
Teɣra-am-d Mary.
Teɣra-d Taninna.
Teɣṛam wa yakan?
Teɣṛam-as i Tom.
Teɣram-as i Tom?
Teɣram-as yakan?
Teɣṛamt adlis-a?
Teɣṛiḍ wa yakan?
Teɣṛiḍ-as i Tom.
Teɣrid-as i Tom?
Teɣriḍ-as i Tom?
Teɣriḍ-as yakan?
Teɣṛimt-t yakan?
Teɣs ad tt-tẓer?
Teɣṣeb di tikli.
Teɣtes ad tebru.
Tegza Marie aya?
Tegzem-iyi awal.
Teɣẓen, a Jamal.
Teɣẓen, neɣ uhu?
Tegzid-t imir-a?
Teḥbes tkeṛṛust.
Teḥbes-itt Mary.
Tehhuskimt aṭas.
Teḥṛec am netta.
Teḥrec di lakul.
Teḥwaj lemwansa?
Teḥwaj tasiwant.
Teḥwajeḍ aɛawen?
Teḥwajed asihaṛ.
Teḥwajed tisura?
Teḥwajeḍ tisura?
Teḥwajem asihaṛ.
Tejbed-d afatas.
Tejja asrir-nni.
Tejja-t ad iṛuḥ.
Tejjem-it Marie.
Tejjiḍ s tɣawla.
Tejjmemt-t, naɣ?
Tejla yat tkuba.
Tekbid-iyi aṭas.
Tekfa tudert-iw!
Tekka-d seg-sen.
Tekka-d seg-wen.
Tekkamt i tlisa.
Tekkat Jennifer.
Tekkateḍ apyanu?
Tekkes-akent-tt.
Tekkes-asen-ten.
Tekkes-asent-tt.
Tekkes-awen-ten.
Tekkes-itent-id?
Tekkes-iyi-tent.
Tekkseḍ-aɣ-tent.
Tekkseḍ-aɣ-t-id.
Tekkseḍ-asent-t.
Tekkseḍ-asen-tt.
Tekkseḍ-as-tent.
Tekkseḍ-as-t-id.
Tekkseḍ-iyi-ten.
Tekkseḍ-tent-id?
Tekksem-aɣ-tent.
Tekksem-aɣ-t-id.
Tekksem-asent-t.
Tekksem-asen-tt.
Tekksem-as-tent.
Tekksem-iyi-ten.
Tekksemt-aɣ-ten.
Tekksemt-asen-t.
Tekksemt-as-ten.
Tekksem-tent-id?
Tekksemt-iyi-tt.
Tekksemt-ten-id?
Teklamt iɣerban.
Tekṛeh tifesnax.
Tekṛeh tikerkas.
Tekṛeh tissisin.
Tekṛeh-iyi Mary.
Tekres twenza-s.
Tekrez iger-nni.
Teldi-d tawwurt.
Telha taɣect-is.
Telha tebyirt-a.
Telha teftist-a.
Telha teftist-a?
Telḥeq-d tefsut.
Tella deg uxxam.
Tella s nnwaḍer.
Tella teffunzer.
Tella teḥwaj-ik.
Tella temmehmeh.
Tella teqqummec.
Tella tesbucbuc.
Tella tesbuḥruy.
Tella tesɛuẓẓug.
Tella teskerkis.
Tella teslemlum.
Tella teslulduy.
Tella tesnehmuy.
Tella tesrejdil.
Tella tesseflad.
Tella tesseglaf.
Tella tesselqaf.
Tella tessewway.
Tella tessuṭṭuḍ.
Tella teswectir.
Tella tettaḍḍaf.
Tella tettaḍḍas.
Tella tettaki-d.
Tella tettazzal.
Tella tettɛassa.
Tella tettecceḍ.
Tella tetteffeɣ.
Tella tetteffer.
Tella tetteqqen.
Tella tetteẓẓel.
Tella tettgijji.
Tella tettgugum.
Tella tettifliw.
Tella tettimɣur.
Tella tettimẓiy.
Tella tettmahal.
Tella tettmurud.
Tella tettnazaɛ.
Tella tettwabaẓ.
Tella tettwakar.
Tella tettẓalla.
Tella tezdeɣ da.
Tellam din, naɣ?
Tellam diri-ken.
Tellam tbeɛɛdem.
Tellam tceḍḍḥem.
Tellam tcekkḍem.
Tellam tcerrḍem.
Tellam teddalem.
Tellam tɛeḍḍsem.
Tellam tɛerrḍem.
Tellam teffudem.
Tellam telluẓem.
Tellam teqqarem.
Tellam teqqimem.
Tellam tettarum.
Tellam tettusum.
Tellam tezririm.
